hour_utc,tx_count,avg_gas_price
2024-12-09 03:00:00+00:00,48173,13039346193.257685
2024-12-09 04:00:00+00:00,47471,13747636128.097013
2024-12-09 05:00:00+00:00,44503,11756240929.896677
2024-12-09 06:00:00+00:00,44689,11843076080.616156
2024-12-09 07:00:00+00:00,49080,12110593131.171577
2024-12-09 08:00:00+00:00,50910,12344916539.207067
2024-12-09 09:00:00+00:00,56077,13894148714.608322
2024-12-09 10:00:00+00:00,55040,12312070228.118536
2024-12-09 11:00:00+00:00,56014,13404407413.689657
2024-12-09 12:00:00+00:00,64081,42051725818.25329
2024-12-09 13:00:00+00:00,62818,44861787088.548546
2024-12-09 14:00:00+00:00,60725,39511551594.947586
2024-12-09 15:00:00+00:00,58853,41884144613.22213
2024-12-09 16:00:00+00:00,63660,38970373877.30477
2024-12-09 17:00:00+00:00,61851,35699466442.22789
2024-12-09 18:00:00+00:00,59789,37595678430.0891
2024-12-09 19:00:00+00:00,58001,27746125375.518017
2024-12-09 20:00:00+00:00,57096,40027523424.83492
2024-12-09 21:00:00+00:00,59026,112915686984.61882
2024-12-09 22:00:00+00:00,58655,60149890883.50633
2024-12-09 23:00:00+00:00,58851,35284262055.736206
2024-12-10 00:00:00+00:00,59013,30783598420.259323
2024-12-10 01:00:00+00:00,59419,20767385295.821404
2024-12-10 02:00:00+00:00,56418,24295377531.887405
2024-12-10 03:00:00+00:00,55316,33680156537.729588
2024-12-10 04:00:00+00:00,54533,20781835722.401005
2024-12-10 05:00:00+00:00,52307,15990847919.61581
2024-12-10 06:00:00+00:00,51091,14710894672.45717
2024-12-10 07:00:00+00:00,51152,14682974004.871407
2024-12-10 08:00:00+00:00,54448,15498593990.447994
2024-12-10 09:00:00+00:00,55477,17273397911.44855
2024-12-10 10:00:00+00:00,58847,17493918386.596375
2024-12-10 11:00:00+00:00,59172,15482578541.048437
2024-12-10 12:00:00+00:00,59641,19180788603.412098
2024-12-10 13:00:00+00:00,58040,25362397709.372803
2024-12-10 14:00:00+00:00,64530,71464281234.96596
2024-12-10 15:00:00+00:00,62745,60990867128.29397
2024-12-10 16:00:00+00:00,62885,66813982224.904854
2024-12-10 17:00:00+00:00,63217,44214564929.07998
2024-12-10 18:00:00+00:00,62818,39127922504.80345
2024-12-10 19:00:00+00:00,59410,31332123118.967834
2024-12-10 20:00:00+00:00,57073,24749095898.34911
2024-12-10 21:00:00+00:00,54734,24341259416.192963
2024-12-10 22:00:00+00:00,53684,20370314975.710625
2024-12-10 23:00:00+00:00,53857,16799475963.355892
2024-12-11 00:00:00+00:00,51365,17787907593.738583
2024-12-11 01:00:00+00:00,51726,15665331446.54076
2024-12-11 02:00:00+00:00,53214,16906849465.423319
2024-12-11 03:00:00+00:00,49531,15179947007.708931
2024-12-11 04:00:00+00:00,43770,15402874819.668352
2024-12-11 05:00:00+00:00,48496,12887897651.269497
2024-12-11 06:00:00+00:00,49920,12432647397.574368
2024-12-11 07:00:00+00:00,54793,12255829278.528118
2024-12-11 08:00:00+00:00,53858,14496355659.689407
2024-12-11 09:00:00+00:00,53630,15425988949.779427
2024-12-11 10:00:00+00:00,56435,13562985970.37646
2024-12-11 11:00:00+00:00,56464,14800097638.019114
2024-12-11 12:00:00+00:00,55499,19834622608.297066
2024-12-11 13:00:00+00:00,56332,22637509127.61483
2024-12-11 14:00:00+00:00,55581,30782420344.11402
2024-12-11 15:00:00+00:00,58432,34058838992.659706
2024-12-11 16:00:00+00:00,58942,32723040374.3861
2024-12-11 17:00:00+00:00,58405,27911697977.581127
2024-12-11 18:00:00+00:00,57518,35085907464.112045
2024-12-11 19:00:00+00:00,55277,37462846100.41636
2024-12-11 20:00:00+00:00,56201,28700768748.14783
2024-12-11 21:00:00+00:00,55255,25386874841.37069
2024-12-11 22:00:00+00:00,54229,23933710810.655167
2024-12-11 23:00:00+00:00,52922,18777405427.618423
2024-12-12 00:00:00+00:00,59529,20008329180.704865
2024-12-12 01:00:00+00:00,53647,15793334675.629316
2024-12-12 02:00:00+00:00,51998,15391962439.500057
2024-12-12 03:00:00+00:00,53480,19547662143.672096
2024-12-12 04:00:00+00:00,50842,16936194292.042233
2024-12-12 05:00:00+00:00,52023,16647378978.612955
2024-12-12 06:00:00+00:00,55310,16198822707.90114
2024-12-12 07:00:00+00:00,55311,15915941822.082579
2024-12-12 08:00:00+00:00,56539,16108118675.076256
2024-12-12 09:00:00+00:00,58170,17995798901.386353
2024-12-12 10:00:00+00:00,58391,17421943346.35039
2024-12-12 11:00:00+00:00,58286,19536782802.497936
2024-12-12 12:00:00+00:00,59079,19550423995.541016
2024-12-12 13:00:00+00:00,62014,25256533010.603767
2024-12-12 14:00:00+00:00,57951,29080248295.617783
2024-12-12 15:00:00+00:00,58765,34894605292.26912
2024-12-12 16:00:00+00:00,62470,51517013570.68461
2024-12-12 17:00:00+00:00,57918,31486040441.545143
2024-12-12 18:00:00+00:00,56836,29843579794.903847
2024-12-12 19:00:00+00:00,56388,32930590734.167103
2024-12-12 20:00:00+00:00,54953,26495434902.85671
2024-12-12 21:00:00+00:00,54593,22004115292.21943
2024-12-12 22:00:00+00:00,53202,19974234422.929325
2024-12-12 23:00:00+00:00,53234,15639863901.902615
2024-12-13 00:00:00+00:00,52350,15373895932.256338
2024-12-13 01:00:00+00:00,52165,13890639939.227367
2024-12-13 02:00:00+00:00,50229,14215907194.479486
2024-12-13 03:00:00+00:00,49711,14267589782.766268
2024-12-13 04:00:00+00:00,49877,13838266994.456446
2024-12-13 05:00:00+00:00,46515,13109786186.039534
2024-12-13 06:00:00+00:00,52228,13510434123.201778
2024-12-13 07:00:00+00:00,54269,12437580611.225979
2024-12-13 08:00:00+00:00,59193,13232144235.693613
2024-12-13 09:00:00+00:00,56068,15107923816.079739
2024-12-13 10:00:00+00:00,54887,15234445598.257439
2024-12-13 11:00:00+00:00,53837,14209380222.32974
2024-12-13 12:00:00+00:00,54321,15991864811.68419
2024-12-13 13:00:00+00:00,54428,17979508462.302437
2024-12-13 14:00:00+00:00,56708,18160505517.798733
2024-12-13 15:00:00+00:00,56830,25013383964.82938
2024-12-13 16:00:00+00:00,56730,32431462189.03591
2024-12-13 17:00:00+00:00,55138,25605435610.67554
2024-12-13 18:00:00+00:00,53923,23732241943.640842
2024-12-13 19:00:00+00:00,51311,20801467139.57514
2024-12-13 20:00:00+00:00,53650,17025868167.499773
2024-12-13 21:00:00+00:00,52239,15254268907.572552
2024-12-13 22:00:00+00:00,52091,14524942448.573702
2024-12-13 23:00:00+00:00,51506,12710784876.1591
2024-12-14 00:00:00+00:00,52014,14624311102.22828
2024-12-14 01:00:00+00:00,54510,12507964642.902832
2024-12-14 02:00:00+00:00,52093,11100710635.822092
2024-12-14 03:00:00+00:00,52102,10800012800.29964
2024-12-14 04:00:00+00:00,44263,11988947646.096804
2024-12-14 05:00:00+00:00,47221,10320167020.188023
2024-12-14 06:00:00+00:00,49463,9780730493.182135
2024-12-14 07:00:00+00:00,50033,9644206857.620668
2024-12-14 08:00:00+00:00,52427,9607605147.021946
2024-12-14 09:00:00+00:00,52342,9359976883.526829
2024-12-14 10:00:00+00:00,51883,9533893628.903028
2024-12-14 11:00:00+00:00,51952,9343670995.429728
2024-12-14 12:00:00+00:00,52391,10068553305.887989
2024-12-14 13:00:00+00:00,52839,11060714019.868189
2024-12-14 14:00:00+00:00,52216,11051298957.07778
2024-12-14 15:00:00+00:00,51989,11625548944.668447
2024-12-14 16:00:00+00:00,53497,16713506954.125341
2024-12-14 17:00:00+00:00,52059,12224972503.813913
2024-12-14 18:00:00+00:00,53736,11323796917.388088
2024-12-14 19:00:00+00:00,53276,9914788582.79908
2024-12-14 20:00:00+00:00,54053,9225056717.163078
2024-12-14 21:00:00+00:00,52573,9196892013.2261
2024-12-14 22:00:00+00:00,51578,13467185054.553497
2024-12-14 23:00:00+00:00,48471,9067513606.574991
2024-12-15 00:00:00+00:00,50821,9096208506.923105
2024-12-15 01:00:00+00:00,47504,9665041997.395895
2024-12-15 02:00:00+00:00,46422,9463392937.70706
2024-12-15 03:00:00+00:00,42273,9129754825.868402
2024-12-15 04:00:00+00:00,40263,9441696629.333666
2024-12-15 05:00:00+00:00,44275,8740903250.610777
2024-12-15 06:00:00+00:00,51679,7054903600.458525
2024-12-15 07:00:00+00:00,49233,7895244726.899557
2024-12-15 08:00:00+00:00,50998,7711858439.757857
2024-12-15 09:00:00+00:00,51193,7217890228.785831
2024-12-15 10:00:00+00:00,50568,6894195979.033498
2024-12-15 11:00:00+00:00,50070,7353876551.779527
2024-12-15 12:00:00+00:00,52482,8015274498.401708
2024-12-15 13:00:00+00:00,50161,9704555439.171164
2024-12-15 14:00:00+00:00,51476,11496851613.659224
2024-12-15 15:00:00+00:00,52075,11862103467.277342
2024-12-15 16:00:00+00:00,55551,12712894557.542564
2024-12-15 17:00:00+00:00,53997,13116494816.263641
2024-12-15 18:00:00+00:00,51578,11388454866.358479
2024-12-15 19:00:00+00:00,51460,12197274377.32355
2024-12-15 20:00:00+00:00,52307,12042852002.604116
2024-12-15 21:00:00+00:00,51386,13490314331.643396
2024-12-15 22:00:00+00:00,51290,11552023307.851748
2024-12-15 23:00:00+00:00,50892,16261436025.454184
2024-12-16 00:00:00+00:00,51270,15540862666.665573
2024-12-16 01:00:00+00:00,51208,17930778904.691864
2024-12-16 02:00:00+00:00,49820,14510736786.403019
2024-12-16 03:00:00+00:00,49395,12943953376.620882
2024-12-16 04:00:00+00:00,50256,11897695003.78725
2024-12-16 05:00:00+00:00,50163,12633313902.437525
2024-12-16 06:00:00+00:00,49738,10213820193.650246
2024-12-16 07:00:00+00:00,51293,9389815736.553675
2024-12-16 08:00:00+00:00,54578,10955540664.011656
2024-12-16 09:00:00+00:00,57140,13040578288.809479
2024-12-16 10:00:00+00:00,54543,14265051853.081537
2024-12-16 11:00:00+00:00,53193,16871686683.248718
2024-12-16 12:00:00+00:00,55043,14552607487.618502
2024-12-16 13:00:00+00:00,55427,15759981427.10741
2024-12-16 14:00:00+00:00,54503,20664393261.434746
2024-12-16 15:00:00+00:00,55667,25785013308.338955
2024-12-16 16:00:00+00:00,57423,35157143173.7811
2024-12-16 17:00:00+00:00,57059,33406636757.44905
2024-12-16 18:00:00+00:00,57608,30162780330.067318
2024-12-16 19:00:00+00:00,57283,33041558646.72105
2024-12-16 20:00:00+00:00,54556,24685614394.67602
2024-12-16 21:00:00+00:00,55793,20683769554.309135
2024-12-16 22:00:00+00:00,53457,17316490005.085567
2024-12-16 23:00:00+00:00,52262,14532326141.291594
2024-12-17 00:00:00+00:00,51774,14804638079.59772
2024-12-17 01:00:00+00:00,51918,11066976761.612965
2024-12-17 02:00:00+00:00,56142,12055736223.885778
2024-12-17 03:00:00+00:00,51594,10454241343.877258
2024-12-17 04:00:00+00:00,48777,11714015241.801516
2024-12-17 05:00:00+00:00,44507,14693519435.860567
2024-12-17 06:00:00+00:00,47095,10811043463.544622
2024-12-17 07:00:00+00:00,50653,9772030102.022314
2024-12-17 08:00:00+00:00,53953,9888328598.179867
2024-12-17 09:00:00+00:00,55378,11229679814.578688
2024-12-17 10:00:00+00:00,54478,11580021885.979427
2024-12-17 11:00:00+00:00,55727,10311408333.491764
2024-12-17 12:00:00+00:00,56805,13151646308.78302
2024-12-17 13:00:00+00:00,57672,21817030217.555325
2024-12-17 14:00:00+00:00,61605,39621396079.19523
2024-12-17 15:00:00+00:00,62431,48302685406.06111
2024-12-17 16:00:00+00:00,60992,35801321014.63511
2024-12-17 17:00:00+00:00,58480,33350011940.877163
2024-12-17 18:00:00+00:00,58721,30361735247.93842
2024-12-17 19:00:00+00:00,58529,22316686518.698112
2024-12-17 20:00:00+00:00,58590,20626938132.020073
